Data,Instituição,Curso
2024-11-03 13:26:56,Fucape,Administração
2024-11-03 13:26:56,Fucape,Ciência de Dados para Negócios
2024-11-03 13:26:56,Fucape,Contador Global
2024-11-03 13:26:56,Fucape,Direito
2024-11-03 13:26:56,Fucape,Economia
2024-11-03 13:26:56,Fucape,MBA
2024-11-03 13:26:56,Fucape,Mestrado
2024-11-03 13:26:56,Fucape,Doutorado
2024-11-03 13:26:58,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-11-03 13:26:58,IFES,Engenharia de Controle e Automação
2024-11-03 13:26:58,IFES,Sistemas de Informação
2024-11-03 13:26:58,IFES,Tecnologia em Sistemas para Internet - EaD
