Data,Instituição,Curso
2024-10-27 19:43:04,Fucape,Administração
2024-10-27 19:43:04,Fucape,Ciência de Dados para Negócios
2024-10-27 19:43:04,Fucape,Contador Global
2024-10-27 19:43:04,Fucape,Direito
2024-10-27 19:43:04,Fucape,Economia
2024-10-27 19:43:04,Fucape,MBA
2024-10-27 19:43:04,Fucape,Mestrado
2024-10-27 19:43:04,Fucape,Doutorado
2024-10-27 19:43:05,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-10-27 19:43:06,IFES,Engenharia de Controle e Automação
2024-10-27 19:43:06,IFES,Sistemas de Informação
2024-10-27 19:43:06,IFES,Tecnologia em Sistemas para Internet - EaD
