Data,Instituição,Curso
2024-10-21 16:36:21,Fucape,Administração
2024-10-21 16:36:21,Fucape,Ciência de Dados para Negócios
2024-10-21 16:36:21,Fucape,Contador Global
2024-10-21 16:36:21,Fucape,Direito
2024-10-21 16:36:21,Fucape,Economia
2024-10-21 16:36:21,Fucape,MBA
2024-10-21 16:36:21,Fucape,Mestrado
2024-10-21 16:36:21,Fucape,Doutorado
2024-10-21 16:36:22,UCL,Arquitetura e Urbanismo
2024-10-21 16:36:22,UCL,Engenharia Biomédica
2024-10-21 16:36:22,UCL,Engenharia Civil
2024-10-21 16:36:22,UCL,Engenharia de Controle e Automação (Mecatrônica)
2024-10-21 16:36:22,UCL,Engenharia de Computação
2024-10-21 16:36:22,UCL,Engenharia Elétrica
2024-10-21 16:36:22,UCL,Engenharia Mecânica
2024-10-21 16:36:22,UCL,Engenharia de Produção
2024-10-21 16:36:22,UCL,Engenharia Química
2024-10-21 16:36:22,UCL,Informática – Sistemas de Informação
2024-10-21 16:36:22,UCL,Análise e Desenvolvimento de Sistemas
2024-10-21 16:36:22,UCL,Administração
2024-10-21 16:36:22,UCL,Logística
2024-10-21 16:36:22,UCL,Ciências Contábeis – NOVO
2024-10-21 16:36:22,IFES,Engenharia de Controle e Automação
2024-10-21 16:36:22,IFES,Sistemas de Informação
2024-10-21 16:36:22,IFES,Tecnologia em Sistemas para Internet - EaD
