Data,Instituição,Curso
2024-10-30 19:39:06,Fucape,Administração
2024-10-30 19:39:06,Fucape,Ciência de Dados para Negócios
2024-10-30 19:39:06,Fucape,Contador Global
2024-10-30 19:39:06,Fucape,Direito
2024-10-30 19:39:06,Fucape,Economia
2024-10-30 19:39:06,Fucape,MBA
2024-10-30 19:39:06,Fucape,Mestrado
2024-10-30 19:39:06,Fucape,Doutorado
2024-10-30 19:39:09,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-10-30 19:39:10,IFES,Engenharia de Controle e Automação
2024-10-30 19:39:10,IFES,Sistemas de Informação
2024-10-30 19:39:10,IFES,Tecnologia em Sistemas para Internet - EaD
