Data,Instituição,Curso
2024-10-21 16:40:02,Fucape,Administração
2024-10-21 16:40:02,Fucape,Ciência de Dados para Negócios
2024-10-21 16:40:02,Fucape,Contador Global
2024-10-21 16:40:02,Fucape,Direito
2024-10-21 16:40:02,Fucape,Economia
2024-10-21 16:40:02,Fucape,MBA
2024-10-21 16:40:02,Fucape,Mestrado
2024-10-21 16:40:02,Fucape,Doutorado
2024-10-21 16:40:03,UCL,Arquitetura e Urbanismo
2024-10-21 16:40:03,UCL,Engenharia Biomédica
2024-10-21 16:40:03,UCL,Engenharia Civil
2024-10-21 16:40:03,UCL,Engenharia de Controle e Automação (Mecatrônica)
2024-10-21 16:40:03,UCL,Engenharia de Computação
2024-10-21 16:40:03,UCL,Engenharia Elétrica
2024-10-21 16:40:03,UCL,Engenharia Mecânica
2024-10-21 16:40:03,UCL,Engenharia de Produção
2024-10-21 16:40:03,UCL,Engenharia Química
2024-10-21 16:40:03,UCL,Informática – Sistemas de Informação
2024-10-21 16:40:03,UCL,Análise e Desenvolvimento de Sistemas
2024-10-21 16:40:03,UCL,Administração
2024-10-21 16:40:03,UCL,Logística
2024-10-21 16:40:03,UCL,Ciências Contábeis – NOVO
2024-10-21 16:40:03,IFES,Engenharia de Controle e Automação
2024-10-21 16:40:03,IFES,Sistemas de Informação
2024-10-21 16:40:03,IFES,Tecnologia em Sistemas para Internet - EaD
