Data,Instituição,Curso
2024-11-03 11:17:57,Fucape,Administração
2024-11-03 11:17:57,Fucape,Ciência de Dados para Negócios
2024-11-03 11:17:57,Fucape,Contador Global
2024-11-03 11:17:57,Fucape,Direito
2024-11-03 11:17:57,Fucape,Economia
2024-11-03 11:17:57,Fucape,MBA
2024-11-03 11:17:57,Fucape,Mestrado
2024-11-03 11:17:57,Fucape,Doutorado
2024-11-03 11:17:58,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-11-03 11:17:59,IFES,Engenharia de Controle e Automação
2024-11-03 11:17:59,IFES,Sistemas de Informação
2024-11-03 11:17:59,IFES,Tecnologia em Sistemas para Internet - EaD
