Data,Instituição,Curso
2024-10-31 19:19:30,Fucape,Administração
2024-10-31 19:19:30,Fucape,Ciência de Dados para Negócios
2024-10-31 19:19:30,Fucape,Contador Global
2024-10-31 19:19:30,Fucape,Direito
2024-10-31 19:19:30,Fucape,Economia
2024-10-31 19:19:30,Fucape,MBA
2024-10-31 19:19:30,Fucape,Mestrado
2024-10-31 19:19:30,Fucape,Doutorado
2024-10-31 19:19:30,IFES,Engenharia de Controle e Automação
2024-10-31 19:19:30,IFES,Sistemas de Informação
2024-10-31 19:19:30,IFES,Tecnologia em Sistemas para Internet - EaD
