Data,Instituição,Curso
2024-10-27 19:35:22,Fucape,Administração
2024-10-27 19:35:22,Fucape,Ciência de Dados para Negócios
2024-10-27 19:35:22,Fucape,Contador Global
2024-10-27 19:35:22,Fucape,Direito
2024-10-27 19:35:22,Fucape,Economia
2024-10-27 19:35:22,Fucape,MBA
2024-10-27 19:35:22,Fucape,Mestrado
2024-10-27 19:35:22,Fucape,Doutorado
2024-10-27 19:35:24,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-10-27 19:35:24,IFES,Engenharia de Controle e Automação
2024-10-27 19:35:24,IFES,Sistemas de Informação
2024-10-27 19:35:24,IFES,Tecnologia em Sistemas para Internet - EaD
