Data,Instituição,Curso
2024-11-03 11:16:46,Fucape,Administração
2024-11-03 11:16:46,Fucape,Ciência de Dados para Negócios
2024-11-03 11:16:46,Fucape,Contador Global
2024-11-03 11:16:46,Fucape,Direito
2024-11-03 11:16:46,Fucape,Economia
2024-11-03 11:16:46,Fucape,MBA
2024-11-03 11:16:46,Fucape,Mestrado
2024-11-03 11:16:46,Fucape,Doutorado
2024-11-03 11:16:48,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-11-03 11:16:48,IFES,Engenharia de Controle e Automação
2024-11-03 11:16:48,IFES,Sistemas de Informação
2024-11-03 11:16:48,IFES,Tecnologia em Sistemas para Internet - EaD
