Data,Instituição,Curso
2024-11-03 10:36:24,Fucape,Administração
2024-11-03 10:36:24,Fucape,Ciência de Dados para Negócios
2024-11-03 10:36:24,Fucape,Contador Global
2024-11-03 10:36:24,Fucape,Direito
2024-11-03 10:36:24,Fucape,Economia
2024-11-03 10:36:24,Fucape,MBA
2024-11-03 10:36:24,Fucape,Mestrado
2024-11-03 10:36:24,Fucape,Doutorado
2024-11-03 10:36:25,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-11-03 10:36:26,IFES,Engenharia de Controle e Automação
2024-11-03 10:36:26,IFES,Sistemas de Informação
2024-11-03 10:36:26,IFES,Tecnologia em Sistemas para Internet - EaD
