Data,Instituição,Curso
2024-11-03 09:38:59,Fucape,Administração
2024-11-03 09:38:59,Fucape,Ciência de Dados para Negócios
2024-11-03 09:38:59,Fucape,Contador Global
2024-11-03 09:38:59,Fucape,Direito
2024-11-03 09:38:59,Fucape,Economia
2024-11-03 09:38:59,Fucape,MBA
2024-11-03 09:38:59,Fucape,Mestrado
2024-11-03 09:38:59,Fucape,Doutorado
2024-11-03 09:39:00,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-11-03 09:39:01,IFES,Engenharia de Controle e Automação
2024-11-03 09:39:01,IFES,Sistemas de Informação
2024-11-03 09:39:01,IFES,Tecnologia em Sistemas para Internet - EaD
