Data,Instituição,Curso
2024-11-03 10:35:17,Fucape,Administração
2024-11-03 10:35:17,Fucape,Ciência de Dados para Negócios
2024-11-03 10:35:17,Fucape,Contador Global
2024-11-03 10:35:17,Fucape,Direito
2024-11-03 10:35:17,Fucape,Economia
2024-11-03 10:35:17,Fucape,MBA
2024-11-03 10:35:17,Fucape,Mestrado
2024-11-03 10:35:17,Fucape,Doutorado
2024-11-03 10:35:18,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-11-03 10:35:19,IFES,Engenharia de Controle e Automação
2024-11-03 10:35:19,IFES,Sistemas de Informação
2024-11-03 10:35:19,IFES,Tecnologia em Sistemas para Internet - EaD
