Data,Instituição,Curso
2024-10-29 19:39:07,Fucape,Administração
2024-10-29 19:39:07,Fucape,Ciência de Dados para Negócios
2024-10-29 19:39:07,Fucape,Contador Global
2024-10-29 19:39:07,Fucape,Direito
2024-10-29 19:39:07,Fucape,Economia
2024-10-29 19:39:07,Fucape,MBA
2024-10-29 19:39:07,Fucape,Mestrado
2024-10-29 19:39:07,Fucape,Doutorado
2024-10-29 19:39:08,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-10-29 19:39:09,IFES,Engenharia de Controle e Automação
2024-10-29 19:39:09,IFES,Sistemas de Informação
2024-10-29 19:39:09,IFES,Tecnologia em Sistemas para Internet - EaD
