Data,Instituição,Curso
2024-10-21 16:37:56,Fucape,Administração
2024-10-21 16:37:56,Fucape,Ciência de Dados para Negócios
2024-10-21 16:37:56,Fucape,Contador Global
2024-10-21 16:37:56,Fucape,Direito
2024-10-21 16:37:56,Fucape,Economia
2024-10-21 16:37:56,Fucape,MBA
2024-10-21 16:37:56,Fucape,Mestrado
2024-10-21 16:37:56,Fucape,Doutorado
2024-10-21 16:37:57,UCL,Arquitetura e Urbanismo
2024-10-21 16:37:57,UCL,Engenharia Biomédica
2024-10-21 16:37:57,UCL,Engenharia Civil
2024-10-21 16:37:57,UCL,Engenharia de Controle e Automação (Mecatrônica)
2024-10-21 16:37:57,UCL,Engenharia de Computação
2024-10-21 16:37:57,UCL,Engenharia Elétrica
2024-10-21 16:37:57,UCL,Engenharia Mecânica
2024-10-21 16:37:57,UCL,Engenharia de Produção
2024-10-21 16:37:57,UCL,Engenharia Química
2024-10-21 16:37:57,UCL,Informática – Sistemas de Informação
2024-10-21 16:37:57,UCL,Análise e Desenvolvimento de Sistemas
2024-10-21 16:37:57,UCL,Administração
2024-10-21 16:37:57,UCL,Logística
2024-10-21 16:37:57,UCL,Ciências Contábeis – NOVO
2024-10-21 16:37:58,IFES,Engenharia de Controle e Automação
2024-10-21 16:37:58,IFES,Sistemas de Informação
2024-10-21 16:37:58,IFES,Tecnologia em Sistemas para Internet - EaD
