Data,Instituição,Curso
2024-10-27 19:39:03,Fucape,Administração
2024-10-27 19:39:03,Fucape,Ciência de Dados para Negócios
2024-10-27 19:39:03,Fucape,Contador Global
2024-10-27 19:39:03,Fucape,Direito
2024-10-27 19:39:03,Fucape,Economia
2024-10-27 19:39:03,Fucape,MBA
2024-10-27 19:39:03,Fucape,Mestrado
2024-10-27 19:39:03,Fucape,Doutorado
2024-10-27 19:39:04,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-10-27 19:39:04,IFES,Engenharia de Controle e Automação
2024-10-27 19:39:04,IFES,Sistemas de Informação
2024-10-27 19:39:04,IFES,Tecnologia em Sistemas para Internet - EaD
