Data,Instituição,Curso
2024-10-22 11:35:45,Fucape,Administração
2024-10-22 11:35:45,Fucape,Ciência de Dados para Negócios
2024-10-22 11:35:45,Fucape,Contador Global
2024-10-22 11:35:45,Fucape,Direito
2024-10-22 11:35:45,Fucape,Economia
2024-10-22 11:35:45,Fucape,MBA
2024-10-22 11:35:45,Fucape,Mestrado
2024-10-22 11:35:45,Fucape,Doutorado
2024-10-22 11:35:46,UCL,Arquitetura e Urbanismo
2024-10-22 11:35:46,UCL,Engenharia Biomédica
2024-10-22 11:35:46,UCL,Engenharia Civil
2024-10-22 11:35:46,UCL,Engenharia de Controle e Automação (Mecatrônica)
2024-10-22 11:35:46,UCL,Engenharia de Computação
2024-10-22 11:35:46,UCL,Engenharia Elétrica
2024-10-22 11:35:46,UCL,Engenharia Mecânica
2024-10-22 11:35:46,UCL,Engenharia de Produção
2024-10-22 11:35:46,UCL,Engenharia Química
2024-10-22 11:35:46,UCL,Informática – Sistemas de Informação
2024-10-22 11:35:46,UCL,Análise e Desenvolvimento de Sistemas
2024-10-22 11:35:46,UCL,Administração
2024-10-22 11:35:46,UCL,Logística
2024-10-22 11:35:46,UCL,Ciências Contábeis – NOVO
2024-10-22 11:35:46,IFES,Engenharia de Controle e Automação
2024-10-22 11:35:46,IFES,Sistemas de Informação
2024-10-22 11:35:46,IFES,Tecnologia em Sistemas para Internet - EaD
