Data,Instituição,Curso
2024-11-03 19:03:02,Fucape,Administração
2024-11-03 19:03:02,Fucape,Ciência de Dados para Negócios
2024-11-03 19:03:02,Fucape,Contador Global
2024-11-03 19:03:02,Fucape,Direito
2024-11-03 19:03:02,Fucape,Economia
2024-11-03 19:03:02,Fucape,MBA
2024-11-03 19:03:02,Fucape,Mestrado
2024-11-03 19:03:02,Fucape,Doutorado
2024-11-03 19:03:03,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-11-03 19:03:03,IFES,Engenharia de Controle e Automação
2024-11-03 19:03:03,IFES,Sistemas de Informação
2024-11-03 19:03:03,IFES,Tecnologia em Sistemas para Internet - EaD
