Data,Instituição,Curso
2024-10-28 00:43:13,Fucape,Administração
2024-10-28 00:43:13,Fucape,Ciência de Dados para Negócios
2024-10-28 00:43:13,Fucape,Contador Global
2024-10-28 00:43:13,Fucape,Direito
2024-10-28 00:43:13,Fucape,Economia
2024-10-28 00:43:13,Fucape,MBA
2024-10-28 00:43:13,Fucape,Mestrado
2024-10-28 00:43:13,Fucape,Doutorado
2024-10-28 00:43:13,IFES,Engenharia de Controle e Automação
2024-10-28 00:43:13,IFES,Sistemas de Informação
2024-10-28 00:43:13,IFES,Tecnologia em Sistemas para Internet - EaD
