Data,Instituição,Curso
2024-11-03 13:28:34,Fucape,Administração
2024-11-03 13:28:34,Fucape,Ciência de Dados para Negócios
2024-11-03 13:28:34,Fucape,Contador Global
2024-11-03 13:28:34,Fucape,Direito
2024-11-03 13:28:34,Fucape,Economia
2024-11-03 13:28:34,Fucape,MBA
2024-11-03 13:28:34,Fucape,Mestrado
2024-11-03 13:28:34,Fucape,Doutorado
2024-11-03 13:28:35,UCL,Nenhuma lista com o id 'tatsu-row ' foi encontrada.
2024-11-03 13:28:35,IFES,Engenharia de Controle e Automação
2024-11-03 13:28:35,IFES,Sistemas de Informação
2024-11-03 13:28:35,IFES,Tecnologia em Sistemas para Internet - EaD
