Data,Instituição,Curso
2024-11-03 09:40:33,Fucape,Administração
2024-11-03 09:40:33,Fucape,Ciência de Dados para Negócios
2024-11-03 09:40:33,Fucape,Contador Global
2024-11-03 09:40:33,Fucape,Direito
2024-11-03 09:40:33,Fucape,Economia
2024-11-03 09:40:33,Fucape,MBA
2024-11-03 09:40:33,Fucape,Mestrado
2024-11-03 09:40:33,Fucape,Doutorado
2024-11-03 09:40:35,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-11-03 09:40:35,IFES,Engenharia de Controle e Automação
2024-11-03 09:40:35,IFES,Sistemas de Informação
2024-11-03 09:40:35,IFES,Tecnologia em Sistemas para Internet - EaD
