Data,Instituição,Curso
2024-11-03 11:15:39,Fucape,Administração
2024-11-03 11:15:39,Fucape,Ciência de Dados para Negócios
2024-11-03 11:15:39,Fucape,Contador Global
2024-11-03 11:15:39,Fucape,Direito
2024-11-03 11:15:39,Fucape,Economia
2024-11-03 11:15:39,Fucape,MBA
2024-11-03 11:15:39,Fucape,Mestrado
2024-11-03 11:15:39,Fucape,Doutorado
2024-11-03 11:15:40,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-11-03 11:15:41,IFES,Engenharia de Controle e Automação
2024-11-03 11:15:41,IFES,Sistemas de Informação
2024-11-03 11:15:41,IFES,Tecnologia em Sistemas para Internet - EaD
