Data,Instituição,Curso
2024-11-03 09:25:16,Fucape,Administração
2024-11-03 09:25:16,Fucape,Ciência de Dados para Negócios
2024-11-03 09:25:16,Fucape,Contador Global
2024-11-03 09:25:16,Fucape,Direito
2024-11-03 09:25:16,Fucape,Economia
2024-11-03 09:25:16,Fucape,MBA
2024-11-03 09:25:16,Fucape,Mestrado
2024-11-03 09:25:16,Fucape,Doutorado
2024-11-03 09:25:17,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-11-03 09:25:17,IFES,Engenharia de Controle e Automação
2024-11-03 09:25:17,IFES,Sistemas de Informação
2024-11-03 09:25:17,IFES,Tecnologia em Sistemas para Internet - EaD
