Data,Instituição,Curso
2024-11-03 09:23:23,Fucape,Administração
2024-11-03 09:23:23,Fucape,Ciência de Dados para Negócios
2024-11-03 09:23:23,Fucape,Contador Global
2024-11-03 09:23:23,Fucape,Direito
2024-11-03 09:23:23,Fucape,Economia
2024-11-03 09:23:23,Fucape,MBA
2024-11-03 09:23:23,Fucape,Mestrado
2024-11-03 09:23:23,Fucape,Doutorado
2024-11-03 09:23:24,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-11-03 09:23:24,IFES,Engenharia de Controle e Automação
2024-11-03 09:23:24,IFES,Sistemas de Informação
2024-11-03 09:23:24,IFES,Tecnologia em Sistemas para Internet - EaD
