Data,Instituição,Curso
2024-11-03 10:38:14,Fucape,Administração
2024-11-03 10:38:14,Fucape,Ciência de Dados para Negócios
2024-11-03 10:38:14,Fucape,Contador Global
2024-11-03 10:38:14,Fucape,Direito
2024-11-03 10:38:14,Fucape,Economia
2024-11-03 10:38:14,Fucape,MBA
2024-11-03 10:38:14,Fucape,Mestrado
2024-11-03 10:38:14,Fucape,Doutorado
2024-11-03 10:38:15,UCL,Nenhuma lista com o id 'menu-graduacao-manguinhos' foi encontrada.
2024-11-03 10:38:16,IFES,Engenharia de Controle e Automação
2024-11-03 10:38:16,IFES,Sistemas de Informação
2024-11-03 10:38:16,IFES,Tecnologia em Sistemas para Internet - EaD
